floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,45,[Hidden],8a:15:14:52:23:cf,-64.0,153,20,5GHz,[WEP][ESS][WEP]
Second,45,Plainsboro-Public-Library,8a:15:14:52:23:c0,-64.0,153,20,5GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:14:51:e6:20,-65.0,149,20,5GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-65.0,6,20,2.4GHz,[ESS][Unknown]
Second,45,[Hidden],e2:55:7d:bc:13:6f,-65.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,45,[Hidden],8a:15:14:53:49:4f,-69.0,48,80,5GHz,[WEP][ESS][WEP]
Second,45,[Hidden],8a:15:14:53:3c:3f,-70.0,108,80,5GHz,[WEP][ESS][WEP]
Second,45,Plainsboro-Public-Library,8a:15:14:53:49:40,-70.0,48,80,5GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:14:53:3c:30,-72.0,108,80,5GHz,[ESS][Unknown]
Second,45,CP1300-938B59,f8:a2:6d:93:8b:59,-72.0,2,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-73.0,108,80,5GHz,[ESS][Unknown]
Second,45,[Hidden],e2:55:6d:bc:13:6f,-74.0,108,80,5GHz,[WEP][ESS][WEP]
Second,45,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-76.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,45,[Hidden],8a:15:04:53:34:af,-77.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,45,Plainsboro-Public-Library,8a:15:04:53:34:a0,-79.0,6,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:04:53:33:90,-46.0,6,20,2.4GHz,[ESS][Unknown]
